iata,name,city,country,latitude,longitude,timezone
NSR,Serra da Capivara Airport,Sao Raimundo Nonato,Brazil,-9.083392,-42.644656,America/Fortaleza
NST,Nakhon Si Thammarat Airport,Nakhon Si Thammarat,Thailand,8.5396203994751,99.9447021484375,Asia/Bangkok
NTD,Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,United States,34.120300293,-119.121002197,America/Los_Angeles
NTE,Nantes Atlantique Airport,Nantes,France,47.153198,-1.61073,Europe/Paris
NTG,Nantong Xingdong International Airport,Nantong,China,32.073566,120.980076,Asia/Shanghai
NTI,Stenkol Airport,Bintuni-Papua Island,Indonesia,-2.102572,133.515981,Asia/Jayapura
NTL,Newcastle Airport,Williamtown,Australia,-32.796114,151.835025,Australia/Sydney
NTO,Agostinho Neto Airport,Ponta do Sol,Cape Verde,17.2028007507324,-25.0905990600586,Atlantic/Cape_Verde
NTQ,Noto Satoyama Airport,Wajima,Japan,37.293098,136.962006,Asia/Tokyo
NTT,Kuini Lavenia Airport,Niuatoputapu,Tonga,-15.977297,-173.791089,Pacific/Tongatapu
NTU,Oceana Naval Air Station,Virginia Beach,United States,36.820702,-76.033501,America/New_York
NTX,Ranai Airport,Ranai-Natuna Besar Island,Indonesia,3.90871,108.388,Asia/Jakarta
NTY,Pilanesberg International Airport,Pilanesberg,South Africa,-25.333799,27.173401,Africa/Johannesburg
NUD,En Nahud Airport,En Nahud,Sudan,12.735513,28.410841,Africa/Khartoum
NUE,Nuremberg Airport,Nuremberg,Germany,49.498699,11.078056,Europe/Berlin
NUI,Nuiqsut Airport,Nuiqsut,United States,70.209999,-151.005998,America/Anchorage
NUJ,Nojeh Air Base,Hamadan,Iran,35.211601,48.6534,Asia/Tehran
NUK,Nukutavake Airport,Nukutavake,French Polynesia,-19.284613,-138.768367,Pacific/Tahiti
NUL,Nulato Airport,Nulato,United States,64.729301,-158.074005,America/Anchorage
NUM,Neom Bay Airport,Neom,Saudi Arabia,27.924261,35.29358,Asia/Riyadh
NUQ,Moffett Federal Airfield,Mountain View,United States,37.4161,-122.049004,America/Los_Angeles
NUS,Norsup Airport,Norsup,Vanuatu,-16.0797,167.401001,Pacific/Efate
NUU,Lanet Military Airstrip,Nakuru,Kenya,-0.298067,36.159302,Africa/Nairobi
NUW,Whidbey Island Naval Air Station (Ault Field),Oak Harbor,United States,48.351799,-122.655998,America/Los_Angeles
NUX,Novy Urengoy Airport,Novy Urengoy,Russia,66.0693969726563,76.5203018188477,Asia/Yekaterinburg
NVA,Benito Salas Airport,Neiva,Colombia,2.95015,-75.294,America/Bogota
NVD,Nevada Municipal Airport,Nevada,United States,37.8521,-94.304901,America/Chicago
NVI,Navoi International Airport,Navoi,Uzbekistan,40.117599,65.172658,Asia/Samarkand
NVN,Nervino Airport,Beckwourth,United States,39.818501,-120.352997,America/Los_Angeles
NVP,Novo Aripuanã Airport,Novo Aripuana,Brazil,-5.11803,-60.364899,America/Manaus
NVS,Nevers-Fourchambault Airport,Nevers/Fourchambault,France,47.002913,3.113114,Europe/Paris
NVT,Ministro Victor Konder International Airport,Navegantes,Brazil,-26.879431,-48.650979,America/Sao_Paulo
NWI,Norwich Airport,Norwich,United Kingdom,52.6758,1.28278,Europe/London
NYA,Nyagan Airport,Nyagan,Russia,62.110001,65.614998,Asia/Yekaterinburg
NYE,Nyeri Airport,Nyeri,Kenya,-0.364414,36.978485,Africa/Nairobi
NYG,Quantico Marine Corps Airfield / Turner Field,Quantico,United States,38.501701,-77.305298,America/New_York
NYI,Sunyani Airport,Sunyani,Ghana,7.36183,-2.32876,Africa/Accra
NYK,Nanyuki Airport,Nanyuki,Kenya,-0.062399,37.041008,Africa/Nairobi
NYM,Nadym Airport,Nadym,Russia,65.4809036254883,72.6988983154297,Asia/Yekaterinburg
NYO,Stockholm Skavsta Airport,Stockholm / Nykoping,Sweden,58.789656,16.911479,Europe/Stockholm
NYR,Nyurba Airport,Nyurba,Russia,63.296703,118.341953,Asia/Yakutsk
NYS,New York Skyports Inc Seaplane Base,New York,United States,40.735061,-73.972814,America/New_York
NYT,Nay Pyi Taw International Airport,Pyinmana,Myanmar,19.623501,96.200996,Asia/Yangon
NYU,Bagan Airport,Nyaung U,Myanmar,21.1788005828857,94.9301986694336,Asia/Yangon
NYW,Monywar Airport,Monywar,Myanmar,22.221638,95.093479,Asia/Yangon
NZA,Nzagi Airport,Nzagi,Angola,-7.71693992615,21.3582000732,Africa/Luanda
NZE,Nzérékoré Airport,Nzerekore,Guinea,7.810413,-8.702073,Africa/Conakry
NZH,Manzhouli Xijiao Airport,Manzhouli,China,49.566667,117.33,Asia/Shanghai
NZL,Zhalantun Genghis Khan Airport,Zalantun,China,47.865942,122.768662,Asia/Shanghai
NZY,North Island Naval Air Station-Halsey Field,San Diego,United States,32.69919968,-117.2149963,America/Los_Angeles
OAG,Orange Airport,Orange,Australia,-33.382014,149.131262,Australia/Sydney
OAI,Bagram Airfield,Bagram,Afghanistan,34.946098,69.264999,Asia/Kabul
OAJ,Albert J Ellis Airport,Jacksonville,United States,34.829201,-77.612099,America/New_York
OAK,San Francisco Bay Oakland International Airport,Oakland,United States,37.720085,-122.221184,America/Los_Angeles
OAL,Cacoal Airport,Cacoal,Brazil,-11.496,-61.4508,America/Porto_Velho
OAN,El Arrayán Airport,Olanchito,Honduras,15.505556,-86.574722,America/Tegucigalpa
OAR,Marina Municipal Airport,Marina,United States,36.68190002,-121.762001,America/Los_Angeles
OAS,Sharana Airstrip,Sharana,Afghanistan,33.12575,68.838517,Asia/Kabul
OAX,Xoxocotlán International Airport,Oaxaca,Mexico,16.998773,-96.726092,America/Mexico_City
OBC,Obock Airport,Obock,Djibouti,11.9670000076294,43.2669982910156,Africa/Djibouti
OBE,Okeechobee County Airport,Okeechobee,United States,27.2628002167,-80.8498001099,America/New_York
OBI,Óbidos Municipal Airport,Obidos,Brazil,-1.867981,-55.514596,America/Santarem
OBL,Oostmalle Airfield,Zoersel,Belgium,51.269092,4.762428,Europe/Brussels
OBN,Oban Airport,North Connel,United Kingdom,56.463501,-5.39967,Europe/London
OBO,Tokachi-Obihiro Airport,Obihiro,Japan,42.7332992554,143.216995239,Asia/Tokyo
OBS,Aubenas-South Ardèche Airport,Aubenas/Ardeche Meridional,France,44.544367,4.372194,Europe/Paris
